Tempo Del Viaggiatore, Lower Bound, Upper Bound, Risolto In 1 h, Monumenti Considerati, Politica Selezione Monumenti, Tempo
10000, 850.0, 850.0, Si, 25, Tutti, 740.73464012146
10000, 831.0, 1119.8570537901828, No, 37, Tutti, 921.1219470500946
10000, 938.0, 1088.5235930121094, No, 31, Tutti, 928.2600343227386
10000, 979.0, 979.0, Si, 28, Tutti, 550.2380537986755
10000, 779.0, 863.0, No, 25, Tutti, 914.6028044223785
10000, 539.0, 539.0, Si, 12, Tutti, 0.5202758312225342
10000, 656.0, 656.0, Si, 18, Tutti, 39.79681348800659
10000, 780.0, 780.0, Si, 21, Tutti, 146.7126989364624
10000, 795.0, 795.0, Si, 23, Tutti, 51.323463678359985
10000, 843.0, 843.0, Si, 24, Tutti, 59.669495582580566
10000, 843.0, 843.0, Si, 24, Tutti, 42.578344106674194
10000, 843.0, 843.0, Si, 24, Tutti, 58.898855447769165
10000, 850.0, 850.0, Si, 25, Tutti, 370.8979341983795
10000, 828.0, 1127.2845945450913, No, 37, Tutti, 910.5172216892242
10000, 712.0, 1093.9230406229024, No, 31, Tutti, 914.8521647453308
10000, 979.0, 979.0, Si, 28, Tutti, 440.7968361377716
10000, 949.0, 1034.8423320358636, No, 29, Tutti, 914.0988554954529
10000, 850.0, 850.0, Si, 25, Tutti, 568.8244843482971
10000, 954.0, 1123.5073304346856, No, 37, Tutti, 925.770245552063
10000, 816.0, 1083.7364111340416, No, 31, Tutti, 915.1297388076782
10000, 979.0, 979.0, Si, 28, Tutti, 761.7128818035126
10000, 918.0, 1040.214182845185, No, 29, Tutti, 915.5501484870911
10000, 979.0, 979.0, Si, 28, Tutti, 840.4285962581635
10000, 979.0, 979.0, Si, 28, Tutti, 282.8857865333557
10000, 850.0, 850.0, Si, 25, Tutti, 655.1915371417999
10000, 0.0, -inf, No, 37, Tutti, 909.5528335571289
10000, 0.0, -inf, No, 31, Tutti, 914.3620455265045
10000, 979.0, 979.0, Si, 28, Tutti, 877.1906633377075
10000, 957.0, 1038.0, No, 29, Tutti, 914.1741216182709
10000, 1263.0, 1283.0613426608006, No, 25, Tutti, 920.0572836399078
10000, 828.0, 828.0, Si, 12, Tutti, 2.768442392349243
10000, 1053.0, 1053.0, Si, 18, Tutti, 25.405754566192627
10000, 1110.0, 1110.0, Si, 21, Tutti, 16.3419086933136
10000, 1223.0, 1223.0, Si, 23, Tutti, 41.10917091369629
10000, 1222.0, 1222.0, Si, 24, Tutti, 164.58272671699524
10000, 1222.0, 1222.0, Si, 24, Tutti, 198.88812232017517
10000, 1222.0, 1222.0, Si, 24, Tutti, 168.71105527877808
10000, 1222.0, 1222.0, Si, 24, Tutti, 141.66435766220093
10000, 1222.0, 1222.0, Si, 24, Tutti, 267.7939178943634
10000, 1222.0, 1222.0, Si, 24, Tutti, 154.54604935646057
10000, 1222.0, 1222.0, Si, 24, Tutti, 166.44002318382263
10000, 1222.0, 1222.0, Si, 24, Tutti, 158.37305450439453
10000, 1222.0, 1222.0, Si, 24, Tutti, 204.47105526924133
10000, 1268.0, 1273.0, No, 25, Tutti, 927.2300164699554
10000, 828.0, 828.0, Si, 12, Tutti, 3.384542942047119
10000, 1053.0, 1053.0, Si, 18, Tutti, 30.154057264328003
10000, 1110.0, 1110.0, Si, 21, Tutti, 17.553109884262085
10000, 1223.0, 1223.0, Si, 23, Tutti, 46.919148683547974
10000, 1222.0, 1222.0, Si, 24, Tutti, 8411.654164075851
10000, 1222.0, 1222.0, Si, 24, Tutti, 131.91300797462463
10000, 1222.0, 1222.0, Si, 24, Tutti, 154.60330414772034
10000, 1222.0, 1222.0, Si, 24, Tutti, 153.00331568717957
10000, 1222.0, 1222.0, Si, 24, Tutti, 193.1346070766449
10000, 1222.0, 1222.0, Si, 24, Tutti, 139.82394433021545
10000, 1268.0, 1268.0, Si, 25, Tutti, 747.7027139663696
10000, 1272.0, 1483.2123251503863, No, 37, Tutti, 910.8192999362946
10000, 1360.0, 1431.7413821855623, No, 31, Tutti, 913.9433476924896
10000, 1290.0, 1316.9421745852999, No, 28, Tutti, 913.2370862960815
10000, 1296.0, 1303.0, No, 26, Tutti, 912.8777234554291
10000, 1268.0, 1268.0, Si, 25, Tutti, 740.224258184433
10000, 1326.0, 1476.931559796008, No, 37, Tutti, 911.708012342453
10000, 1360.0, 1437.449340999151, No, 31, Tutti, 913.037766456604
0, 0, 0, 0, 0, 0, 010000, 1255.0, 1285.0, No, 25, popolarita, 913.5852541923523
10000, 828.0, 828.0, Si, 12, popolarita, 2.872361421585083
10000, 1053.0, 1053.0, Si, 18, popolarita, 20.503787755966187
10000, 1110.0, 1110.0, Si, 21, popolarita, 15.161052703857422
10000, 1223.0, 1223.0, Si, 23, popolarita, 43.49559164047241
10000, 1263.0, 1282.8884563728031, No, 25, popolarita, 914.6122398376465
10000, 828.0, 828.0, Si, 12, popolarita, 3.7290115356445312
10000, 1053.0, 1053.0, Si, 18, popolarita, 18.226463556289673
10000, 1110.0, 1110.0, Si, 21, popolarita, 15.70042371749878
10000, 1223.0, 1223.0, Si, 23, popolarita, 46.34165859222412
10000, 1268.0, 1273.0, No, 25, popolarita, 912.6807069778442
10000, 828.0, 828.0, Si, 12, popolarita, 2.7652955055236816
10000, 1053.0, 1053.0, Si, 18, popolarita, 21.524622678756714
10000, 1110.0, 1110.0, Si, 21, popolarita, 27.75973606109619
10000, 1223.0, 1223.0, Si, 23, popolarita, 45.80601787567139
10000, 1268.0, 1275.0, No, 25, popolarita, 914.3762242794037
10000, 828.0, 828.0, Si, 12, popolarita, 3.1780760288238525
10000, 1053.0, 1053.0, Si, 18, popolarita, 25.721513986587524
10000, 1110.0, 1110.0, Si, 21, popolarita, 17.05295991897583
10000, 1223.0, 1223.0, Si, 23, popolarita, 49.34550476074219
10000, 1263.0, 1286.0, No, 25, popolarita, 912.7791616916656
10000, 828.0, 828.0, Si, 12, popolarita, 4.014621019363403
10000, 1053.0, 1053.0, Si, 18, popolarita, 18.69404172897339
10000, 1110.0, 1110.0, Si, 21, popolarita, 18.821878671646118
10000, 1223.0, 1223.0, Si, 23, popolarita, 8.488180875778198
10000, 1242.0, 1292.385147452492, No, 25, popolarita, 917.200469493866
10000, 828.0, 828.0, Si, 12, popolarita, 4.808042287826538
10000, 1053.0, 1053.0, Si, 18, popolarita, 32.37602257728577
10000, 1110.0, 1110.0, Si, 21, popolarita, 17.0359890460968
10000, 1223.0, 1223.0, Si, 23, popolarita, 49.6272668838501
10000, 1268.0, 1273.0, No, 25, popolarita, 911.8443686962128
10000, 828.0, 828.0, Si, 12, popolarita, 3.254592180252075
10000, 1053.0, 1053.0, Si, 18, popolarita, 21.664703130722046
10000, 1110.0, 1110.0, Si, 21, popolarita, 56.52757787704468
10000, 1223.0, 1223.0, Si, 23, popolarita, 51.31760120391846
10000, 1258.0, 1285.4198608477316, No, 25, popolarita, 911.9399406909943
10000, 828.0, 828.0, Si, 12, popolarita, 3.7129156589508057
10000, 1053.0, 1053.0, Si, 18, popolarita, 17.057055234909058
10000, 1110.0, 1110.0, Si, 21, popolarita, 17.047842502593994
10000, 1223.0, 1223.0, Si, 23, popolarita, 43.28671360015869
10000, 1263.0, 1283.904919725158, No, 25, popolarita, 912.1803648471832
10000, 828.0, 828.0, Si, 12, popolarita, 2.9274234771728516
10000, 1053.0, 1053.0, Si, 18, popolarita, 19.0521981716156
10000, 1110.0, 1110.0, Si, 21, popolarita, 17.154796361923218
10000, 1223.0, 1223.0, Si, 23, popolarita, 46.27411913871765
10000, 1250.0, 1284.0, No, 25, popolarita, 912.1007115840912
10000, 828.0, 828.0, Si, 12, popolarita, 3.248748779296875
10000, 1053.0, 1053.0, Si, 18, popolarita, 19.890345096588135
10000, 1110.0, 1110.0, Si, 21, popolarita, 17.54866886138916
10000, 1223.0, 1223.0, Si, 23, popolarita, 34.63099694252014
0,0,0,0,0,0,0
10000, 962.0, 1062.532824372248, No, 25, distanza, 943.8294479846954
10000, 591.0, 591.0, Si, 12, distanza, 17.401673316955566
10000, 672.0, 695.0000000000006, No, 18, distanza, 948.0558533668518
10000, 621.0, 621.0, Si, 15, distanza, 884.7015900611877
10000, 621.0, 632.0, No, 16, distanza, 943.6693732738495
10000, 962.0, 1063.7283648674259, No, 25, distanza, 914.2171187400818
10000, 591.0, 591.0, Si, 12, distanza, 17.535706281661987
10000, 672.0, 695.0, No, 18, distanza, 937.7660336494446
10000, 621.0, 621.0, Si, 15, distanza, 785.3356375694275
10000, 0.0, -inf, No, 25, distanza, 913.8341286182404
10000, 591.0, 591.0, Si, 12, distanza, 18.940272569656372
10000, 0.0, -inf, No, 25, distanza, 914.9125852584839
10000, 591.0, 591.0, Si, 12, distanza, 15.166511297225952
10000, 950.0, 1063.0, No, 25, distanza, 916.5377852916718
10000, 591.0, 591.0, Si, 12, distanza, 19.003969430923462
10000, 665.0, 695.0, No, 18, distanza, 936.4256062507629
10000, 621.0, 621.0, Si, 15, distanza, 734.0611414909363
10000, 962.0, 1062.0, No, 25, distanza, 917.3231289386749
10000, 591.0, 591.0, Si, 12, distanza, 20.216678857803345
10000, 799.0, 818.0, No, 20, distanza, 950.2903778553009
10000, 799.0, 822.0, No, 20, distanza, 1215.2154288291931
10000, 689.0, 887.0, No, 21, distanza, 1224.021821975708
10000, 794.0, 880.0000000000002, No, 22, distanza, 1157.844758272171
10000, 621.0, 621.0, Si, 15, distanza, 702.0266990661621
10000, 672.0, 695.0, No, 18, distanza, 938.4917967319489
10000, 706.0, 729.0000000000007, No, 19, distanza, 946.3732538223267
10000, 785.0, 822.0, No, 20, distanza, 951.3759999275208
10000, 498.0, 498.0, Si, 10, distanza, 1.5437862873077393
10000, 524.0, 524.0, Si, 11, distanza, 3.4032623767852783
10000, 591.0, 591.0, Si, 12, distanza, 17.784586668014526
10000, 621.0, 621.0, Si, 13, distanza, 15.122546911239624
10000, 621.0, 621.0, Si, 14, distanza, 193.89192605018616
10000, 621.0, 621.0, Si, 15, distanza, 622.1000590324402
10000, 498.0, 498.0, Si, 10, distanza, 1.8170576095581055
10000, 524.0, 524.0, Si, 11, distanza, 3.9980239868164062
10000, 591.0, 591.0, Si, 12, distanza, 17.13925552368164
10000, 621.0, 621.0, Si, 13, distanza, 10.280344247817993
10000, 621.0, 621.0, Si, 14, distanza, 121.63292813301086
10000, 621.0, 621.0, Si, 15, distanza, 599.1017003059387
10000, 498.0, 498.0, Si, 10, distanza, 1.7618870735168457
10000, 524.0, 524.0, Si, 11, distanza, 3.9399664402008057
10000, 591.0, 591.0, Si, 12, distanza, 17.837676286697388
10000, 621.0, 621.0, Si, 13, distanza, 16.26528239250183
10000, 621.0, 621.0, Si, 14, distanza, 221.27458596229553
10000, 621.0, 621.0, Si, 15, distanza, 787.4137995243073
10000, 498.0, 498.0, Si, 10, distanza, 1.7891454696655273
10000, 524.0, 524.0, Si, 11, distanza, 4.531958103179932
10000, 591.0, 591.0, Si, 12, distanza, 18.04732060432434
10000, 621.0, 621.0, Si, 13, distanza, 21.769848823547363
10000, 797.0, 797.0, Si, 15, mista (1d2p), 138.56400275230408
10000, 797.0, 797.0, Si, 16, mista (1d2p), 27.022870302200317
10000, 797.0, 797.0, Si, 17, mista (1d2p), 66.07977414131165
10000, 811.0, 811.0, Si, 18, mista (1d2p), 545.5612893104553
10000, 855.0, 859.0000000000002, No, 19, mista (1d2p), 939.0945632457733
