Tempo Del Viaggiatore, Lower Bound, Upper Bound, Risolto In 1 h, Monumenti Considerati, Politica Selezione Monumenti
100, 54.0, 54.0, Si, 100, Tutti
10000, 0.0, -inf, No, 100, Tutti
10000, 0.0, -inf, No, 100, Tutti
10000, 415.0, 415.0, Si, 10, Tutti
10000, 592.0, 592.0, Si, 20, Tutti
10000, 592.0, 592.0, Si, 20, Tutti
10000, 0.0, -inf, No, 100, Tutti
10000, 730.0, 730.0, Si, 20, Tutti
10000, 0.0, -inf, No, 50, Tutti
10000, 866.0, 1205.9019475895461, No, 40, Tutti
10000, 1118.0, 1494.1124782821398, No, 45, Tutti
10000, 1082.0, 1688.7438444067143, No, 50, Tutti
10000, 0.0, -inf, No, 60, Tutti
10000, 0.0, -inf, No, 55, Tutti
10000, 0.0, -inf, No, 50, Tutti
10000, 0.0, -inf, No, 50, Tutti
10000, 922.0, 1674.767688418462, No, 49, Tutti
10000, 0.0, -inf, No, 49, Tutti
10000, 0.0, -inf, No, 49, Tutti
10000, 0.0, -inf, No, 51, Tutti
10000, 0.0, -inf, No, 51, Tutti
10000, 0.0, -inf, No, 48, Tutti
10000, 1030.0, 1486.1016365580485, No, 45, Tutti
10000, 0.0, -inf, No, 50, Tutti
10000, 0.0, -inf, No, 50, Tutti
10000, 1191.0, 1481.9467107956937, No, 45, Tutti
10000, 847.0, 1501.1587445369255, No, 45, Tutti
10000, 1105.0, 1483.4963328591668, No, 45, Tutti
10000, 0.0, -inf, No, 100, Tutti
10000, 0.0, -inf, No, 100, Tutti
10000, 0.0, -inf, No, 53, Tutti
10000, 0.0, -inf, No, 52, Tutti
10000, 1201.0, 1673.9911027027636, No, 51, Tutti
10000, 0.0, -inf, No, 50, Tutti
10000, 0.0, -inf, No, 49, Tutti
10000, 0.0, -inf, No, 48, Tutti
10000, 1012.0, 1520.8312926722076, No, 47, Tutti
10000, 0.0, -inf, No, 46, Tutti
10000, 1046.0, 1500.5343594793856, No, 45, Tutti
10000, 0.0, -inf, No, 53, Tutti
10000, 0.0, -inf, No, 52, Tutti
10000, 0.0, -inf, No, 51, Tutti
10000, 0.0, -inf, No, 50, Tutti
10000, 0.0, -inf, No, 49, Tutti
10000, 0.0, -inf, No, 48, Tutti
10000, 0.0, -inf, No, 47, Tutti
10000, 0.0, -inf, No, 46, Tutti
10000, 1039.0, 1497.4415635077025, No, 45, Tutti
10000, 0.0, -inf, No, 53, Tutti
10000, 0.0, -inf, No, 52, Tutti
10000, 1139.0, 1678.299205319911, No, 51, Tutti
10000, 0.0, -inf, No, 53, Tutti
10000, 0.0, -inf, No, 52, Tutti
10000, 0.0, -inf, No, 51, Tutti
10000, 0.0, -inf, No, 50, Tutti
10000, 1084.0, 1669.0819074982708, No, 49, Tutti
10000, 0.0, -inf, No, 53, Tutti
10000, 0.0, -inf, No, 52, Tutti
10000, 0.0, -inf, No, 51, Tutti
10000, 0.0, -inf, No, 50, Tutti
10000, 0.0, -inf, No, 49, Tutti
10000, 0.0, -inf, No, 48, Tutti
10000, 1039.0, 1526.9964686295361, No, 47, Tutti
10000, 0.0, -inf, No, 53, Tutti
10000, 0.0, -inf, No, 52, Tutti
10000, 0.0, -inf, No, 51, Tutti
10000, 0.0, -inf, No, 50, Tutti
10000, 0.0, -inf, No, 49, Tutti
10000, 0.0, -inf, No, 48, Tutti
10000, 0.0, -inf, No, 47, Tutti
10000, 0.0, -inf, No, 46, Tutti
10000, 864.0, 1474.3275575308776, No, 45, Tutti
10000, 0.0, -inf, No, 53, Tutti
10000, 0.0, -inf, No, 52, Tutti
10000, 0.0, -inf, No, 51, Tutti
10000, 0.0, -inf, No, 50, Tutti
10000, 163.0, 163.0, Si, 3, Tutti
10000, 163.0, 163.0, Si, 3, Tutti
10000, 163.0, 163.0, Si, 3, Tutti
10000, 163.0, 163.0, Si, 3, Tutti
10000, 163.0, 163.0, Si, 3, Tutti
10000, 163.0, 163.0, Si, 3, Tutti
10000, 163.0, 163.0, Si, 3, Tutti
10000, 163.0, 163.0, Si, 3, Tutti
10000, 163.0, 163.0, Si, 3, Tutti
10000, 163.0, 163.0, Si, 3, Tutti
10000, 163.0, 163.0, Si, 3, Tutti
10000, 163.0, 163.0, Si, 3, Tutti
10000, 783.0, 863.0, No, 25, Tutti
10000, 539.0, 539.0, Si, 12, Tutti
10000, 656.0, 656.0, Si, 18, Tutti
10000, 780.0, 780.0, Si, 21, Tutti
10000, 795.0, 795.0, Si, 23, Tutti
10000, 843.0, 843.0, Si, 24, Tutti
10000, 843.0, 843.0, Si, 24, Tutti
10000, 843.0, 843.0, Si, 24, Tutti
10000, 843.0, 843.0, Si, 24, Tutti
10000, 850.0, 850.0, Si, 25, Tutti
